file,split,question_id,question_desc,mistake_agent,mistake_step,mistake_reason,standardized
11.json,Algorithm-Generated,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,How many studio albums were published by Mercedes Sosa between 2000 and 2009 (included)? You can use the latest 2022 version of english wikipedia.,InformationVerification_Expert,6,"The agent wrote incorrect code twice, exhausting the interaction limits.",Agent exhausted interaction limits through repeated incorrect actions.
12.json,Algorithm-Generated,db4fd70a-2d37-40ea-873f-9433dc5e301f,"As of May 2023, how many stops are between South Station and Windsor Gardens on MBTA’s Franklin-Foxboro line (not included)?",Verification_Expert,1,The agent uses its internal knowledge to list the stops on the Franklin-Foxboro line instead of searching for the most accurate and up-to-date information available as of May 2023.,Reliance on outdated or static internal knowledge over dynamic external verification.
13.json,Algorithm-Generated,853c8244-429e-46ca-89f2-addf40dfb2bd,"In the 2015 Metropolitan Museum of Art exhibition titled after the Chinese zodiac animal of 2015, how many of the ""twelve animals of the Chinese zodiac"" have a hand visible?",ArtHistory_Expert,4,The agent fabricates the content of the website and does not actually verify its contents.,Hallucinated content without source verification.
14.json,Algorithm-Generated,dc22a632-937f-4e6a-b72f-ba0ff3f5ff97,What was the complete title of the book in which two James Beard Award winners recommended the restaurant where Ali Khan enjoyed a New Mexican staple in his cost-conscious TV show that started in 2015? Write the numbers in plain text if there are some in the title.,Culinary_Awards_Expert,2,The agent is approaching the task in the wrong direction. It failed to locate the restaurant's name.,Incorrect initial task decomposition or goal formulation.
15.json,Algorithm-Generated,851e570a-e3de-4d84-bcfa-cc85578baa59,"I thought we could try a fun word puzzle together :)

I've got a Boggle board here:

ABRL
EITE
IONS
FPEI

I'd like to know the longest word that can be generated from the board. Please find the longest English language word that can be generated from this board. If more than one word of the same length exists at the maximum word length, please report the longest word that comes first, alphabetically. Oh, and I know that there might be different wordlists available for Boggle, so let's please just use the words_alpha dictionary found at https://github.com/dwyl/english-words as the dictionary for our game.",Boggle_Board_Expert,6,The DFS algorithm is not correctly exploring the possible words on the Boggle board.,Incomplete state space exploration in search algorithm.
16.json,Algorithm-Generated,0512426f-4d28-49f0-be77-06d05daec096,"In the YouTube 360 VR video from March 2018 narrated by the voice actor of Lord of the Rings' Gollum, what number was mentioned by the narrator directly after dinosaurs were first shown in the video?",Narration_Expert,1,The agent hallucinates the video ID and calls the tool with placeholder data. The task is not attempted.,Hallucinated input data leading to invalid tool execution.
17.json,Algorithm-Generated,3ff6b7a9-a5bd-4412-ad92-0cd0d45c0fee,"The longest-lived vertebrate is named after an island.  According to Wikipedia as of January 1, 2021, what is the 2020 estimated population of that island, to the nearest thousand?",Statistics_Expert,4,"The step assumed the extracted population value (56,583) was the 2020 estimate without verifying its accuracy or time frame, leading to an incorrect interpretation.",Assumed extracted data accuracy without temporal verification.
18.json,Algorithm-Generated,23dd907f-1261-4488-b21c-e9185af91d5e,"In Audre Lorde’s poem “Father Son and Holy Ghost”, what is the number of the stanza in which some lines are indented?",Poetry_Expert,7,The agent begins providing the full text of the poem without retrieving the text and formatting from websites.,Failure to retrieve external information before processing.
19.json,Algorithm-Generated,3cef3a44-215e-4aed-8e3b-b1e3f08063b7,"I'm making a grocery list for my mom, but she's a professor of botany and she's a real stickler when it comes to categorizing things. I need to add different foods to different categories on the grocery list, but if I make a mistake, she won't buy anything inserted in the wrong category. Here's the list I have so far:

milk, eggs, flour, whole bean coffee, Oreos, sweet potatoes, fresh basil, plums, green beans, rice, corn, bell pepper, whole allspice, acorns, broccoli, celery, zucchini, lettuce, peanuts

I need to make headings for the fruits and vegetables. Could you please create a list of just the vegetables from my list? If you could do that, then I can figure out how to categorize the rest of the list into the appropriate categories. But remember that my mom is a real stickler, so make sure that no botanical fruits end up on the vegetable list, or she won't get them when she's at the store. Please alphabetize the list of vegetables, and place each item in a comma separated list.",Debugging_Problem_Solving_Expert,0,"The task description is not well aligned with the question, causing the subsequent steps to deviate from the correct direction and leading to an inaccurate or irrelevant resolution.",Task objective misalignment with operational instructions.
20.json,Algorithm-Generated,f3917a3d-1d17-4ee2-90c5-683b072218fe,How many edits were made to the Wikipedia page on Antidisestablishmentarianism from its inception until June of 2023?,WebServing_Expert,0,The plan to solve the problem is incorrect.,Incorrect or flawed solution strategy.
21.json,Algorithm-Generated,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,What is the last word before the second chorus of the King of Pop's fifth single from his sixth studio album?,Lyrics_Expert,0,The expert made a factual error. Thriller is not a song but an album.,Factual inaccuracy in domain knowledge or reference verification.
22.json,Algorithm-Generated,1f975693-876d-457b-a649-393859e79bf3,"Hi, I was out sick from my classes on Friday, so I'm trying to figure out what I need to study for my Calculus mid-term next week. My friend from class sent me an audio recording of Professor Willowbrook giving out the recommended reading for the test, but my headphones are broken :(

Could you please listen to the recording for me and tell me the page numbers I'm supposed to go over? I've attached a file called Homework.mp3 that has the recording. Please provide just the page numbers as a comma-delimited list. And please provide the list in ascending order.",PythonDebugging_Expert,0,The steps to solve this question are completely irrelevant to the question.,Incorrect or irrelevant procedural execution.
23.json,Algorithm-Generated,6b078778-0b90-464d-83f6-59511c811b01,"The Metropolitan Museum of Art has a portrait in its collection with an accession number of 29.100.5. Of the consecrators and co-consecrators of this portrait's subject as a bishop, what is the name of the one who never became pope?",Church_Historian_Expert,3,The code is incorrect because it does not import the necessary Python packages.,Missing or incorrect external dependency import.
24.json,Algorithm-Generated,65da0822-a48a-4a68-bbad-8ed1b835a834,"All of the individuals who formally held the position of United States secretary of homeland security prior to April 2019, excluding those who held the position in an acting capacity, have a bachelor's degree. Of the universities that these bachelor's degrees were from, which is the westernmost university and which is the easternmost university? Give them to me as a comma-separated list, I only want the name of the cities where the universities are located, with the westernmost city listed first.",PythonDebugging_Expert,0,"The task description and focus were unrelated to the actual question of identifying cities based on university locations. The debugging effort focused on an irrelevant issue, diverting attention from solving the actual task.",Misaligned focus on irrelevant task aspects
25.json,Algorithm-Generated,c61d22de-5f6c-4958-a7f6-5e9707bd3466,"A paper about AI regulation that was originally submitted to arXiv.org in June 2022 shows a figure with three axes, where each axis has a label word at both ends. Which of these words is used to describe a type of society in a Physics and Society article submitted to arXiv.org on August 11, 2016?",ModelEvaluation_Interpretation_Expert,4,"The agent begins using placeholder values in the code, which results in failure.",Agent incorrectly substitutes placeholders for actual data.
26.json,Algorithm-Generated,7d4a7d1d-cac6-44a8-96e8-ea9584a70825,"According to Girls Who Code, how long did it take in years for the percentage of computer scientists that were women to change by 13% from a starting point of 37%?",WomenInComputerScienceHistory_Expert,3,"The WomenInComputerScienceHistory_Expert did not extract the correct information. The end year should be 2017, not 2022.",Incorrect temporal or sequential data extraction.
27.json,Algorithm-Generated,7a4a336d-dcfa-45a0-b014-824c7619e8de,"At the two-minute mark in the YouTube video uploaded by the channel “GameGrumps” on May 14, 2017 as part of their playthrough of the game Mario Kart 8 Deluxe, the shows’ hosts are competing on one of the game’s racetracks. What was the world record time for that track in the game’s 150cc mode as of June 7, 2023? Express your answer in minutes and seconds, rounding the seconds to the nearest hundredth, e.g. 1:01.001.",DataVerification_Expert,1,Using YouTube tools is more appropriate.,Inadequate tool selection for required information retrieval.
28.json,Algorithm-Generated,0e9e85b8-52b9-4de4-b402-5f635ab9631f,What is the latest chronological year date written in the image on the webpage found when following the first citation reference link on the latest version of Carl Nebel's Wikipedia page as of August 2023?,DataVerification_Expert,8,"The code provided by DataVerification_Expert is not working, resulting in the failure of execution.",Agent dependency failure due to non-functional code.
29.json,Algorithm-Generated,d5141ca5-e7a0-469f-bf3e-e773507c86e2,When was a picture of St. Thomas Aquinas first added to the Wikipedia page on the Principle of double effect? Answer using the format DD/MM/YYYY.,WebServing_Expert,3,The answer provided by WebServing_Expert was incorrect.,Incorrect information provided by upstream data source.
30.json,Algorithm-Generated,99c9cc74-fdc8-46c6-8f8d-3ce2d3bfeea3,"Hi, I'm making a pie but I could use some help with my shopping list. I have everything I need for the crust, but I'm not sure about the filling. I got the recipe from my friend Aditi, but she left it as a voice memo and the speaker on my phone is buzzing so I can't quite make out what she's saying. Could you please listen to the recipe and list all of the ingredients that my friend described? I only want the ingredients for the filling, as I have everything I need to make my favorite pie crust. I've attached the recipe as Strawberry pie.mp3.

In your response, please only list the ingredients, not any measurements. So if the recipe calls for ""a pinch of salt"" or ""two cups of ripe strawberries"" the ingredients on the list would be ""salt"" and ""ripe strawberries"".

Please format your response as a comma separated list of ingredients. Also, please alphabetize the ingredients.",Culinary_Expert,3,The Culinary_Expert incorrectly included 'salt' as an ingredient and misinterpreted 'fresh strawberries' as 'ripe strawberries' from the transcription.,Incorrect transcription and misinterpretation of ambiguous source data.
31.json,Algorithm-Generated,56137764-b4e0-45b8-9c52-1866420c3df5,Which contributor to the version of OpenCV where support was added for the Mask-RCNN model has the same name as a former Chinese head of government when the names are transliterated to the Latin alphabet?,Verification_Expert,3,The expert directly reached a conclusion without further verifying the search results. The OpenCV contribution list is incomplete.,Failure to verify information against source data.
32.json,Algorithm-Generated,73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,"According to the USGS, in what year was the American Alligator first found west of Texas (not including Texas)?",SpeciesSightingsData_Expert,1,The code provided by SpeciesSightingsData_Expert is incorrect.,Agent provided incorrect or inaccurate data.
33.json,Algorithm-Generated,114d5fd0-e2ae-4b6d-a65a-870da2d19c08,"In the endnote found in the second-to-last paragraph of page 11 of the book with the doi 10.2307/j.ctv9b2xdv, what date in November was the Wikipedia article accessed? Just give the day of the month.",InformationExtraction_Expert,8,"While obtaining the web link, the expert should download the PDF file and extract the corresponding text. They should not rely on web search to locate specific content within the book.",Incorrect resource access method used for required information extraction.
34.json,Algorithm-Generated,54612da3-fd56-4941-80f4-5eb82330de25,The attached file shows the locomotives in the collection of a North American railroad museum. How many wheels do the listed steam locomotives have in total?,Locomotive_Expert,4,"The agent made a mistake in calculating the total number of wheels for the steam locomotives. The Whyte notation directly represents the number of leading, driving, and trailing wheels on one side of the locomotive. Therefore, the total number of wheels is simply the sum of these numbers, not the sum multiplied by 2.",Incorrect interpretation of notation leading to miscalculation.
35.json,Algorithm-Generated,71345b0a-9c7d-4b50-b2bf-937ec5879845,"On a leap day before the year 2008, a joke was removed from the Wikipedia page for “Dragon”. What was the phrase that was removed? Give the phrase as it appeared on the page, but without punctuation.",WebServing_Expert,8,"The agent should review the page history of the Wikipedia article to obtain the information. Instead, it initiated a search on Bing.",Failure to utilize specified information retrieval protocol.
36.json,Algorithm-Generated,9318445f-fe6a-4e1b-acbf-c68228c9906a,"As a comma separated list with no whitespace, using the provided image provide all the fractions that use / as the fraction line and the answers to the sample problems. Order the list by the order in which the fractions appear.",ProblemSolving_Expert,2,The expert misinterprets the output of the OCR function and provides the simplified fractions in an incorrect format.,Output format misinterpretation
37.json,Algorithm-Generated,50ec8903-b81f-4257-9450-1085afd2c319,"A standard Rubik’s cube has been broken into cubes making up its sides. The cubes are jumbled, and one is removed. There are 6 cubes with one colored face, 12 edge cubes with two colored faces, and 8 corner cubes with three colored faces. All blue cubes have been found. All cubes directly left, right, above, and below the orange center cube have been found, along with the center cube. The green corners have all been found, along with all green that borders yellow. For all orange cubes found, the opposite face’s cubes have been found. The removed cube has two colors on its faces. What are they? Answer using a comma separated list, with the colors ordered alphabetically.",Cubing_Expert,1,The answer provided by Cubing_Expert was incorrect.,Agent provided factually incorrect final output.
38.json,Algorithm-Generated,305ac316-eef6-4446-960a-92d80d542f82,Who did the actor who played Ray in the Polish-language version of Everybody Loves Raymond play in Magda M.? Give only the first name.,Polish_TV_Series_Expert,2,The agent provide the wrong name of the actor,Incorrect entity identification or attribute assignment.
39.json,Algorithm-Generated,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,"I’m researching species that became invasive after people who kept them as pets released them. There’s a certain species of fish that was popularized as a pet by being the main character of the movie Finding Nemo. According to the USGS, where was this fish found as a nonnative species, before the year 2020? I need the answer formatted as the five-digit zip codes of the places the species was found, separated by commas if there is more than one place.",GIS_DataAnalysis_Expert,1,GIS_DataAnalysis_Expert did not directly access the USGS database to verify the ZIP codes. The expert should have independently verified the ZIP codes using the USGS database to ensure the accuracy of the findings.,Reliance on unverified external data without independent source confirmation.
40.json,Algorithm-Generated,08f3a05f-5947-4089-a4c4-d4bcfaa6b7a0,"Given $x_0 = -5$ and $f(x) = x^3 + 4x^2 - 3x + 8$, what is the smallest $n$ where using Newton's Method $n = n+1$ after rounding to four decimal places?",Verification_Expert,3,The agent wrote incorrect code to calculate the desired value.,Implementation error in algorithm execution logic.
41.json,Algorithm-Generated,42576abe-0deb-4869-8c63-225c2d75a95a,"In the fictional language of Tizin, basic sentences are arranged with the Verb first, followed by the direct object, followed by the subject of the sentence. I want to express my love for apples to my Tizin friend. 

The word that indicates oneself is ""Pa"" is the nominative form, ""Mato"" is the accusative form, and ""Sing"" is the genitive form. 

The root verb that indicates an intense like for something is ""Maktay"". When it is used in the present, it is used in it's root form, when it is used in the preterit past, it is ""Tay"", and when it is used in the imperfect past, it is ""Aktay"". It is used differently than in English, and is better translated as ""is pleasing to"", meaning that the thing doing the liking is actually the object of the sentence rather than the subject.

The word for apples is borrowed from English in Tizin, and so it is ""Apple"" is the nominative form, ""Zapple"" is the accusative form, and ""Izapple"" is the genitive form. 

Please translate ""I like apples"" to Tizin.",Tizin_Translation_Expert,1,"The reasoning provided by Tizin_Translation_Expert is incorrect, as the accusative case should be used instead of the nominative case when expressing oneself.",Incorrect case assignment for syntactic role in translation.
42.json,Algorithm-Generated,e0c10771-d627-4fd7-9694-05348e54ee36,"Take the gender split from the 2011 Bulgarian census about those who have completed tertiary education. Subtract the smaller number from the larger number, then return the difference in thousands of women. So if there were 30.1 thousand more men, you'd give ""30.1""",Verification_Expert,1,The answer provided by Verification_Expert was incorrect.,Incorrect verification of intermediate result.
43.json,Algorithm-Generated,16d825ff-1623-4176-a5b5-42e0f5c2b0ac,"What time was the Tri-Rail train that carried the most passengers on May 27, 2019 scheduled to arrive in Pompano Beach? Express your answer in the 12-hour digital clock format without leading zero if any, and include whether it is AM or PM.",DataAnalysis_Expert,0,"To solve this problem, a web search approach should be used, as there are no attached files for this task. The error occurred because the required tool was not invoked.",Failure to invoke necessary external tool.
44.json,Algorithm-Generated,ad2b4d70-9314-4fe6-bfbe-894a45f6055f,Eva Draconis has a personal website which can be accessed on her YouTube page. What is the meaning of the only symbol seen in the top banner that has a curved line that isn't a circle or a portion of a circle? Answer without punctuation.,WebDevelopment_Expert,1,The code provided by WebDevelopment_Expert is incorrect.,Agent provided incorrect or invalid solution
45.json,Algorithm-Generated,04a04a9b-226c-43fd-b319-d5e89743676f,"If we assume all articles published by Nature in 2020 (articles, only, not book reviews/columns, etc) relied on statistical significance to justify their findings and they on average came to a p-value of 0.04, how many papers would be incorrect as to their claims of statistical significance? Round the value up to the next integer.",PublicationData_Expert,1,"The agent makes an incorrect assumption that the total number of articles is 1,000. However, the exact number of articles published by Nature in 2020 is not provided in the question. The agent should have used the exact number of articles to accurately calculate the number of incorrect papers.",Incorrect assumption about required input data.
46.json,Algorithm-Generated,c714ab3a-da30-4603-bacd-d008800188b9,"You are Van Helsing, a renowned vampire hunter. A Count of Moldova, Lațcu IV, son of  Costea, has tasked you with investigating the village of Șirnea in neighboring Wallachia. The Count's advisors have reported that a vampire was spotted crossing the border near the village, and would like you to investigate it.

You travel to the village of Șirnea, and you begin your investigation. One night, just before dawn, you catch a glimpse of a man in a long black cape with red lining leaping from roof-top to roof-top with superhuman agility. It's a vampire! You try to chase the creature back to its home, but the creature is too fast. However, because of the remoteness of the village, you know with absolute certainty that the vampire must be a resident of the village. You decide that your best course of action will be to visit all 100 residents of the town during the day. You know something about vampires and humans that will make your investigation possible; humans always tell the truth, but vampires always lie.

In the afternoon, you go from house to house, speaking with all 100 residents of Șirnea. You ask everyone the same question: ""How many vampires are living in Șirnea"". Everyone in the village gives the same response, ""At least one of us is a human.""

How many residents of Șirnea have been turned into vampires?",Behavioral_Expert,1,"The agent made a logical error in reasoning about scenario 2. If there is at least one vampire, then the statement 'At least one of us is a human,' made by vampires, would be true and would lead to a contradiction.",Logical inconsistency in handling contradictory truth conditions.
47.json,Algorithm-Generated,0bb3b44a-ede5-4db5-a520-4e844b0079c5,"Consider the following symbols: 𒐜  𒐐𒐚

This is a number written using the Mesopotamian/Babylonian number system and represented with Sumerian cuneiform. Convert this number into Arabic numerals as a decimal number.",Mesopotamian_Number_Systems_Expert,1,"The conversion process from the Babylonian number system to decimal numbers is flawed, which would result in an incorrect calculation.",Incorrect conversion between numerical representation systems.
48.json,Algorithm-Generated,6359a0b1-8f7b-499b-9336-840f9ab90688,What is the area of the green polygon in the attached file? The numbers in purple represent the lengths of the side they are next to.,Geometry_Expert,6,The agent incorrectly assumed the polygon to be a regular hexagon.,Incorrect geometric shape assumption.
49.json,Algorithm-Generated,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,"An office held a Secret Santa gift exchange where each of its twelve employees was assigned one other employee in the group to present with a gift. Each employee filled out a profile including three likes or hobbies. On the day of the gift exchange, only eleven gifts were given, each one specific to one of the recipient's interests. Based on the information in the document, who did not give a gift?",Validation_Expert,2,"The expert should not use OCR, and analyzing data is not the responsibility of the Validation_Expert, leading to the exhaustion of step limits.",Agent role boundary violation causing process termination
50.json,Algorithm-Generated,076c8171-9b3b-49b9-a477-244d2a532826,"The attached file contains a list of vendors in the Liminal Springs mall, along with each vendor’s monthly revenue and the rent they pay the mall. I want you to find the vendor that makes the least money, relative to the rent it pays. Then, tell me what is listed in the “type” column for that vendor.",DataAnalysis_Expert,3,The code is incorrect because it attempts to extract columns that do not exist.,Incorrect data schema or column reference.
51.json,Algorithm-Generated,2a649bb1-795f-4a01-b3be-9a01868dae73,What are the EC numbers of the two most commonly used chemicals for the virus testing method in the paper about SPFMV and SPCSV in the Pearl Of Africa from 2016? Return the semicolon-separated numbers in the order of the alphabetized chemicals.,PythonDebugging_Expert,0,The agent provided information that is completely irrelevant to the problems.,Agent provided irrelevant information to query.
52.json,Algorithm-Generated,b9763138-c053-4832-9f55-86200cb1f99c,Compute the check digit the Tropicos ID for the Order Helotiales would have if it were an ISBN-10 number.,ISBNCheckDigit_Expert,0,The code is incorrect for the task.,Incorrect algorithm or formula implementation.
53.json,Algorithm-Generated,a7feb290-76bb-4cb7-8800-7edaf7954f2f,How many High Energy Physics - Lattice articles listed in January 2020 on Arxiv had ps versions available?,Verification_Expert,1,The Verification_Expert provided incorrect code to solve the task.,Verification agent provided erroneous procedural instructions.
54.json,Algorithm-Generated,a0068077-79f4-461a-adfe-75c1a4148545,What was the actual enrollment count of the clinical trial on H. pylori in acne vulgaris patients from Jan-May 2018 as listed on the NIH website?,Clinical_Trial_Data_Analysis_Expert,5,The answer provided by Clinical_Trial_Data_Analysis_Expert was incorrect.,Incorrect data retrieval or interpretation by an agent.
55.json,Algorithm-Generated,840bfca7-4f7b-481a-8794-c560c340185d,"On June 6, 2023, an article by Carolyn Collins Petersen was published in Universe Today. This article mentions a team that produced a paper about their observations, linked at the bottom of the article. Find this paper. Under what NASA award number was the work performed by R. G. Arendt supported by?",WebServing_Expert,5,The WebServing_Expert failed to retrieve useful information from the paper link.,Failure to parse or extract information from a provided resource.
56.json,Algorithm-Generated,023e9d44-96ae-4eed-b912-244ee8c3b994,"It's May 2023, and I'm about to drive across the U.S. from California to Maine. I always recycle my water bottles at the end of a trip, and I drink 5 12-ounce water bottles for every 100 miles I travel, rounded to the nearest 100. Assuming I follow I-40 from Los Angeles to Cincinnati, then take I-90 from Cincinnati to Augusta, how many dollars will I get back according to Wikipedia?",Validation_Expert,5,"The conversation did not verify the exact recycling rate from the Wikipedia link, which was a crucial step in validating the total amount of money. Assumptions based on general knowledge were made instead of confirming the specific rate from Wikipedia.",Failure to verify critical external data source.
57.json,Algorithm-Generated,bfcd99e1-0690-4b53-a85c-0174a8629083,How many applicants for the job in the PDF are only missing a single qualification?,TextExtraction_Expert,0,The code is wrong.,Incorrect or flawed algorithmic implementation.
58.json,Algorithm-Generated,d0633230-7067-47a9-9dbf-ee11e0a2cdd6,"In the Scikit-Learn July 2017 changelog, what other predictor base command received a bug fix? Just give the name, not a path.",Verification_Expert,1,"The expert incorrectly identified BaseBagging as the predictor base command that received a bug fix, when, according to the ground truth, it should have been BaseLabelPropagation.",Incorrect identification of the corrected component.
59.json,Algorithm-Generated,1dcc160f-c187-48c2-b68e-319bd4354f3d,"According to Openreview.net, at the NeurIPS 2022 Conference, how many papers by an author named Yuri were accepted with a ""certain"" recommendation?",DataExtraction_Expert,1,"The expert wrote code with bugs multiple times, leading to the exhaustion of the step limits.",Agent exceeded computational resource constraints.
60.json,Algorithm-Generated,e29834fd-413a-455c-a33e-c3915b07401c,"I'd like to learn more about some popular reality television competition shows. As of the end of the 44th season of the American version of Survivor, how many more unique winners have there been compared to the number of winners of American Idol?",DataAnalysis_Expert,3,"The expert wrote code with bugs, leading the following experts to follow the same method for extracting winner information in an incorrect way.",Cascading error propagation due to incorrect foundational methodology.
61.json,Algorithm-Generated,b7f857e4-d8aa-4387-af2a-0e844df5b9d8,"The attached image contains a Python script. Run the Python code against an array of strings, listed below. The output of the Python script will be a URL containing C++ source code. Compile and run this C++ code against the array [35, 12, 8, 99, 21, 5] and return the sum of the third and fifth integers in the sorted list.

arr = ['_alg', 'ghi', 'C++', 'jkl', 'tps', '/Q', 'pqr', 'stu', ':', '//', 'rose', 'vwx', 'yz1', '234', 'tta', '567', '890', 'cod', 'e.', 'or', 'g/', 'wiki', '/', 'ing', 'sort', 'abc' , 'or', 'it', 'hms', 'mno' , 'uic', 'ksort', '#', 'ht' ]",PythonProgramming_Expert,5,"The script failed to locate the C++ code on the webpage because it was not targeting the correct elements. Despite multiple attempts to extract the code, the specific structure or class of the C++ content was overlooked.",Failure to identify and target correct structural elements for data extraction.
62.json,Algorithm-Generated,e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,"I need to fact-check a citation. This is the citation from the bibliography:

Greetham, David. ""Uncoupled: OR, How I Lost My Author(s)."" Textual Cultures: Texts, Contexts, Interpretation, vol. 3 no. 1, 2008, p. 45-46. Project MUSE, doi:10.2979/tex.2008.3.1.44.

And this is the in-line citation:

Our relationship with the authors of the works we read can often be “obscured not by a ""cloak of print"" but by the veil of scribal confusion and mis-transmission” (Greetham 45-46).

Does the quoted text match what is actually in the article? If Yes, answer Yes, otherwise, give me the word in my citation that does not match with the correct one (without any article).",Research_Expert,2,"The expert provided incorrect text in the in-line citation, leading to an error in the comparison. The correct word in the citation that does not match is 'cloak.'",Agent provided incorrect reference data.
63.json,Algorithm-Generated,8f80e01c-1296-4371-9486-bb3d68651a60,"Using bass clef notes, what is the age of someone who has experienced the word spelled out in the sheet music by the note letters the total number of lines and notes minus the number of notes on lines in the image?",MusicTheory_Expert,5,The expert fails to view the image and hallucinates the notes.,Agent lacks required perceptual input capability.
