text,split,topic,prob,topic_keywords
Task domain misidentification,Algorithm-Generated,4,1.0,task decomposition allocation irrelevant task
Incorrect or malformed code execution by a dependent agent.,Algorithm-Generated,0,1.0,agent provided data agent provided
Failure to verify temporal correlation between event and metadata annotation.,Algorithm-Generated,0,1.0,agent provided data agent provided
Incorrect abstraction of environmental context.,Algorithm-Generated,5,0.3161076305761962,selection context tool inappropriate tool
Agent executed code with incorrect or non-functional logic.,Algorithm-Generated,0,1.0,agent provided data agent provided
Inaccurate or fabricated source data provided to downstream agents.,Algorithm-Generated,0,1.0,agent provided data agent provided
Agent exceeded computational resource limits due to repeated faulty execution.,Algorithm-Generated,0,1.0,agent provided data agent provided
Failure due to incorrect resource availability assumption.,Algorithm-Generated,-1,0.5110233375252453,agent data required verification
Inappropriate solution approach and excessive incorrect suggestions.,Algorithm-Generated,2,1.0,incorrect premature implementation flawed
Agent provided logically inconsistent or invalid solution.,Algorithm-Generated,0,0.45031073692723833,agent provided data agent provided
Incorrect problem decomposition or task allocation.,Algorithm-Generated,4,1.0,task decomposition allocation irrelevant task
Agent bypassed analysis and made an unverified assumption.,Algorithm-Generated,0,1.0,agent provided data agent provided
Incorrect rounding of a numerical result to a specified precision.,Algorithm-Generated,3,1.0,result incorrect result incorrect incorrect verification
Failure to locate required external data source.,Algorithm-Generated,1,1.0,failure external data source required
Premature conclusion without action execution.,Algorithm-Generated,2,0.2897957159165278,incorrect premature implementation flawed
Misidentification of primary target within a multi-source context.,Algorithm-Generated,0,0.7226468102983419,agent provided data agent provided
Inappropriate tool or method selection for problem context.,Algorithm-Generated,5,1.0,selection context tool inappropriate tool
Agent provided factually incorrect information.,Algorithm-Generated,0,0.7490713423513816,agent provided data agent provided
Agent provided incorrect or inaccurate data.,Algorithm-Generated,0,1.0,agent provided data agent provided
Incorrect final answer due to premature conclusion.,Algorithm-Generated,2,1.0,incorrect premature implementation flawed
Agent bypassed automated data extraction for manual method.,Algorithm-Generated,0,0.5282637856300346,agent provided data agent provided
Incorrect handling of missing data leading to erroneous data filtering.,Algorithm-Generated,-1,0.47739100452704936,agent data required verification
Failure to implement required functionality or provide executable solution.,Algorithm-Generated,-1,0.10008519115200688,agent data required verification
Factual inaccuracy in generated information.,Algorithm-Generated,0,0.4917304392063574,agent provided data agent provided
Agent lacks required domain knowledge or data.,Algorithm-Generated,-1,0.3979851450285997,agent data required verification
Agent misidentified historical sequence of agent outputs.,Algorithm-Generated,-1,0.21344862323721409,agent data required verification
Agent exceeded step limits due to missing prerequisite data imports.,Algorithm-Generated,0,0.6061058981739491,agent provided data agent provided
Agent provided incorrect or non-functional code.,Algorithm-Generated,0,1.0,agent provided data agent provided
Simulation logic flaw due to incorrect state transition modeling.,Algorithm-Generated,6,1.0,state incorrect state exploration search state space
Agent used unverified data for critical calculation.,Algorithm-Generated,0,1.0,agent provided data agent provided
Agent provided inaccurate foundational data to downstream processes.,Algorithm-Generated,0,0.8057986632901329,agent provided data agent provided
Agent provided inaccurate foundational data.,Algorithm-Generated,0,1.0,agent provided data agent provided
Agent provided inaccurate or incomplete information.,Algorithm-Generated,0,1.0,agent provided data agent provided
Agent execution logic contains programming errors.,Algorithm-Generated,0,0.3456324086605659,agent provided data agent provided
Incorrect plan generated from flawed user query.,Algorithm-Generated,2,0.1365561129441171,incorrect premature implementation flawed
Failure in cross-agent verification and error detection.,Algorithm-Generated,-1,0.32087635917108104,agent data required verification
Incorrect or unreliable initial information provided.,Algorithm-Generated,-1,0.5932971016872668,agent data required verification
Incorrect verification of result relevance.,Algorithm-Generated,3,0.22937518561999234,result incorrect result incorrect incorrect verification
Incomplete information gathering before finalizing analysis.,Algorithm-Generated,0,0.47173928176240437,agent provided data agent provided
Incorrect conversion factor or unit assumption in spatial reasoning.,Algorithm-Generated,7,1.0,incorrect conversion conversion assumption geometric shape
Failure to verify critical query constraints during result synthesis.,Algorithm-Generated,2,0.13843039770284848,incorrect premature implementation flawed
Failure to challenge improbable results during verification.,Algorithm-Generated,0,1.0,agent provided data agent provided
Missing or invalid data source configuration,Algorithm-Generated,1,1.0,failure external data source required
Agent bypasses required external data verification process.,Algorithm-Generated,0,0.5023007933121092,agent provided data agent provided
Verification of external expert output failed.,Algorithm-Generated,0,1.0,agent provided data agent provided
Insufficient data collection for required cost comparison.,Algorithm-Generated,1,0.47986699804487604,failure external data source required
Agent misapplied data generation instead of retrieval.,Algorithm-Generated,-1,0.28931916672211944,agent data required verification
Incorrect plan generation due to erroneous input processing.,Algorithm-Generated,6,1.0,state incorrect state exploration search state space
Missing or inaccessible required data source.,Algorithm-Generated,1,1.0,failure external data source required
Failure to produce output from code execution.,Algorithm-Generated,3,1.0,result incorrect result incorrect incorrect verification
Agent action omission leading to information inaccuracy.,Algorithm-Generated,0,1.0,agent provided data agent provided
Agent provided irrelevant or incorrect code.,Algorithm-Generated,0,0.6297792708052848,agent provided data agent provided
Agent provided incorrect or invalid code.,Algorithm-Generated,0,0.6200163489108973,agent provided data agent provided
Agent provided inaccurate foundational data for location-based matching.,Algorithm-Generated,0,1.0,agent provided data agent provided
Missing or incorrect function import.,Algorithm-Generated,1,0.47434751165295247,failure external data source required
Failure to verify critical information before acting.,Algorithm-Generated,0,1.0,agent provided data agent provided
Agent provided inaccurate information due to faulty reasoning.,Algorithm-Generated,0,1.0,agent provided data agent provided
