text,split,topic,prob,topic_keywords
Orchestrator generated incorrect or faulty instructions.,Hand-Crafted,8,0.5498602327451291,orchestrator subordinate subordinate agent instructions
Insufficient information validation before generating final output.,Hand-Crafted,-1,0.07679364506523684,input data input output data leading
Incorrect reasoning or flawed logical inference.,Hand-Crafted,1,1.0,incorrect result implementation flawed
Incorrect or unreliable information retrieval.,Hand-Crafted,2,1.0,retrieval information retrieval search incomplete
Agent lacks capability to process audio input.,Hand-Crafted,0,1.0,agent agent provided provided data
Incomplete or outdated information retrieval from search results.,Hand-Crafted,2,0.34569588774690846,retrieval information retrieval search incomplete
Incorrect calculation due to missing or approximated parameter values.,Hand-Crafted,1,1.0,incorrect result implementation flawed
Temporal scope mismatch between query and data retrieval.,Hand-Crafted,2,1.0,retrieval information retrieval search incomplete
Orchestrator issued repetitive navigation commands instead of varied information retrieval instructions.,Hand-Crafted,8,0.546536407268122,orchestrator subordinate subordinate agent instructions
Insufficient information retrieval leading to speculative reasoning.,Hand-Crafted,2,1.0,retrieval information retrieval search incomplete
Agent query formulation insufficient for information retrieval within constraints.,Hand-Crafted,0,1.0,agent agent provided provided data
Information extraction failure from source content.,Hand-Crafted,3,1.0,failure extraction failure extraction information
